competition_name,competition_short_name,competition_level,category,organizer,suitable_majors,required_skills,directions,entry_format,preparation_cycle,time_requirement_level,difficulty_level,registration_time,submission_time,team_type,suitable_for_project_transfer,required_materials,risk_points,source_link,suitable_award_goals,suitable_for_baoyan,award_rate_reference
ACM-ICPC 国际大学生程序设计竞赛（亚洲区）,ICPC,国家级A类（A3）,计算机类,ICPC Foundation / ICPC亚洲区组委会,"计算机科学与技术,软件工程,信息安全,数学与应用数学","C/C++,Java,Kotlin,Python,高级算法,数据结构,数学推理","亚洲区域赛(沈阳/南京/济南/西安等),EC-Final,World Finals",源代码（OJ提交）,3个月以上,3,高,每年8-9月（以官方通知为准）,每年10-12月区域赛/次年总决赛,团队（3人/队，1名教练）,否,"算法模板库,编程环境配置工具包,历年赛题集,团队协作流程(Copy-Paste-Debug策略)","金牌竞争极激烈(前10%),临场心态影响大,题目难度波动大,团队配合默契需长期磨合",https://icpc.global,"校奖,省奖,国奖",是,省级获奖率约10-15%
全国周培源大学生力学竞赛,周培源力学竞赛,国家级A类（A3）,力学类,教育部高等学校力学教学指导委员会、中国力学学会、周培源基金会,"土木工程,机械工程,工程力学,航空航天工程,材料科学与工程,水利工程","理论力学,材料力学,结构力学分析,实验力学,数学计算","个人赛(理论力学+材料力学闭卷笔试),团体赛(理论设计与操作赛道,基础力学实验赛道,空间轨道设计赛道)","笔试试卷,实验报告,设计方案",1-3个月,2,高,奇数年1-3月(以官方通知为准，第十五届报名截止3月31日),奇数年5月个人赛/7月团体赛,"个人(个人赛),团队(团体赛)",否,"理论力学教材+习题集,材料力学教材+习题集,历年真题,公式手册,计算器","命题范围广(理论力学+材料力学),国一获奖率仅0.5%,个人赛纯笔试无操作空间",http://zpy.cstam.org.cn,"校奖,省奖,国奖",是,国一获奖率仅0.5%
全国大学生电子设计竞赛,电赛/NUEDC,国家级A类（A3）,电子类,教育部高等教育司、工业和信息化部人事教育司,"电子信息工程,通信工程,自动化,微电子,集成电路设计,测控技术与仪器","模拟电路,数字电路,单片机/FPGA,嵌入式开发,电源设计,信号处理,焊接调试,文档撰写","本科组(测控仪器/电源/信号/无线电/控制系统等命题),高职高专组,嵌入式系统专题邀请赛","实物作品,设计报告,演示视频,源代码",1-3个月,2,高,每年4-6月（奇数年全国赛，偶数年省赛/邀请赛）,每年7-8月集中比赛4天3夜,团队（3人/队）,否,"常用元器件(MCU/传感器/电源模块),万用板/PCB打样,焊接工具套件,仪器仪表(示波器/信号源),往届赛题方案库","4天3夜极限设计,硬件调试不确定因素多,赛题方向选择策略关键,熬夜影响判断力",https://nuedc.xjtu.edu.cn,"校奖,省奖,国奖",是,省级获奖率约10-15%
全国大学生嵌入式芯片与系统设计竞赛,嵌入式芯片大赛,国家级A类（A3）,电子类,中国电子教育学会,"电子信息工程,通信工程,计算机科学与技术,自动化,微电子,物联网工程","嵌入式系统开发,C语言,Linux,单片机,FPGA,物联网,AI端侧部署","芯片应用赛道,芯片设计赛道,FPGA创新设计赛道(19个赛题方向)","嵌入式系统实物,设计报告,源代码,演示视频,答辩PPT",3个月以上,3,高,每年2-4月（2026年第九届报名截止4月20日）,7月上旬作品提交/7月分赛区复赛/8月全国总决赛,团队（1-3人，指导教师≤2人）,部分,"开发板及外设模块,设计报告,项目源代码,系统实物,功能演示视频,技术文档","需自购开发平台(成本数百至千元),硬件调试耗时,赛题方向需提前选定",http://www.socchina.net,"校奖,省奖,国奖",是,省级获奖率约10-15%
全国大学生物流设计大赛,物流设计大赛,国家级A类（A3）,综合类,中国物流与采购联合会,"物流管理,物流工程,供应链管理,工业工程,电子商务,交通运输,管理科学与工程","物流系统规划,数据分析,方案设计,数学模型,文案撰写,PPT,答辩","本科组,研究生组(以企业实际案例为背景的方案设计)",方案设计报告(文字/数学模型/算法/软件系统/工程设计),3个月以上,3,高,"两年一届,2025年第九届报名4月（以官方通知为准）",6月初赛/7月复赛/8月总决赛,团队（本科5人/队，研究生3-5人/队）,部分,"企业案例数据,物流规划方案(Word+图纸),数学模型/算法代码,系统原型(如涉及),答辩PPT","两年一届机会少,每校限报2支队伍,需至少2名物流专业学生,案例数据量大分析周期长",http://dspt.clppx.org.cn,"校奖,省奖,国奖",是,省级获奖率约10-15%
全国大学生广告艺术大赛,大广赛,国家级A类（A3）,设计类,教育部高等学校新闻传播学类专业教学指导委员会,"广告学,新闻传播学,视觉传达设计,产品设计,数字媒体艺术,动画,市场营销","创意策划,文案撰写,平面设计,视频拍摄剪辑,Photoshop,Illustrator,Premiere","平面类,视频类,广播类,动画类,微电影类,文案策划类,营销策划类,公益类","平面作品,视频/动画作品,广播音频作品,文案/策划方案",1-3个月,2,中,每年3-4月（以官方通知为准）,5月作品提交/6月省赛/8月国赛,个人或团队（≤5人）,是,"平面设计源文件(PSD/AI),视频/动画成片,广播音频文件,策划方案Word/PDF,报名表,授权承诺书","命题创意同质化竞争,企业命题有偏好倾向,平面类作品数量极多竞争激烈",https://www.sun-ada.net,"校奖,省奖,国奖",是,"省赛约20-30%,国赛约5-10%"
全国大学生机械创新设计大赛,机械创新大赛/机创大赛,国家级A类（A3）,机械类,全国大学生机械创新设计大赛组委会,"机械设计制造及其自动化,机械电子工程,工业设计,自动化,材料成型及控制工程","机械设计,SolidWorks/CAD,3D打印,机电控制,单片机,C语言,动手制作,设计文档","常规赛(特定水产品初加工机械/叶菜洁净化处理包装一体化机械/高性能仿生蝴蝶),数字孪生挑战赛","实物样机,设计说明书,主要设计图纸,介绍视频(3分钟),答辩PPT",3个月以上,3,高,2025年3月发布主题/各校自行安排(2026年常规赛赛季),2026年5月前赛区预赛/6月初评/7月中下旬全国决赛,团队（≤5人，指导教师≤2人）,是,"实物样机,设计说明书,三维模型/工程图纸,3分钟功能演示视频,答辩PPT","必须实物参赛(制作成本数千元),两年一届(第十二届2026年),机械加工周期长,赛题方向固定(须符合主题)",https://umic.moocollege.com,"校奖,省奖,国奖",是,省级获奖率约10-15%
全国大学生结构设计竞赛,结构设计竞赛,国家级A类（A3）,土木类,中国高等教育学会工程教育专业委员会、高等学校土木工程学科专业指导委员会、中国土木工程学会教育工作委员会,"土木工程,工程力学,建筑学,工程管理,水利工程","结构力学分析,材料力学,模型制作,AutoCAD,SAP2000/ANSYS,手工制作",全国统一命题(每年1月发布赛题),"结构模型,理论计算书,介绍与答辩,加载测试",3个月以上,3,高,每年4-7月分区赛（以官方通知为准，第十九届2026年10月国赛）,分区赛4-7月/国赛10月,团队（≤3人/队）,否,"竹材/胶水等模型材料(竞赛统一提供),结构计算书,手工制作工具(刀/尺/砂纸),加载测试设备","模型制作精度要求极高,加载测试现场不确定大,省赛名额有限,须现场14小时限时制作",http://www.structurecontest.com,"校奖,省奖,国奖",是,省级获奖率约10-15%
全国大学生化工设计竞赛,化工设计竞赛,国家级A类（A3）,化工类,中国化工学会、中国化工教育协会,"化学工程与工艺,应用化学,轻化工程,能源化学工程,制药工程,材料化学","化工设计,Aspen Plus,化工制图(AutoCAD),流程模拟,工程经济分析,文档撰写",全国统一命题(年度设计任务书),"化工设计文档,图纸(AutoCAD),流程模拟文件,可行性分析报告,答辩PPT",3个月以上,3,高,每年3月（2026年第二十届报名3月1日-3月31日）,7月15日前提交作品/7月31日前赛区决赛/8月全国总决赛,团队（5人/队，同一学校）,部分,"化工设计说明书,工艺流程图(PFD/P&ID),设备设计图纸,物料衡算/能量衡算文件,工厂/车间布置图,经济分析报告,答辩PPT","设计任务书发布晚(3月)但提交时间紧(7月),软件学习曲线陡峭,每校多支队伍需校内选拔",http://iche.zju.edu.cn,"校奖,省奖,国奖",是,省级获奖率约10-15%
全国大学生信息安全竞赛,信息安全竞赛,国家级A类（A4）,计算机类,中国信息安全测评中心、教育部高等学校网络空间安全专业教学指导委员会,"信息安全,网络空间安全,计算机科学与技术","信息安全,CTF,渗透测试,密码学,Web安全,逆向工程,网络安全","创新实践能力赛(CTF模式),作品赛(自由作品/命题挑战)","安全工具/软件/硬件作品(作品赛),攻防平台WriteUp(技能赛)",1-3个月,2,高,每年5-7月（以官方通知为准）,7月初赛/8月决赛,团队（≤4人/队，1名指导教师）,部分,"网络安全工具包(含漏洞扫描/渗透测试),安全编程代码,CTF平台练习账号,历年赛题集","技能赛需要持续训练CTF题型,知识更新快,作品赛需技术创新点",http://www.ciscn.cn,"校奖,省奖,国奖",是,省级获奖率约10-15%
全国大学生市场调查与分析大赛,市调大赛,国家级A类（A4）,数学类/经管类,中国商业统计学会,"应用统计学,经济学,管理学,市场营销,数学","市场调研,统计分析,SPSS,问卷设计,数据可视化,报告撰写,PPT答辩","本科组,研究生组(选题自定与企业命题)","市场调研报告,数据分析结果,答辩PPT",1-3个月,2,中,每年10-12月（以官方通知为准）,次年4月省赛/5月国赛,团队（3-5人/队）,部分,"问卷数据(线上+线下),数据分析软件(SPSS/Python),调研报告,答辩PPT","数据收集质量和样本量影响分析结果,选题有新颖性要求",中国商业统计学会通知,"校奖,省奖,国奖",是,"省赛约20-30%,国赛约5-10%"
"""外教社杯""全国高校学生跨文化能力大赛",跨文化能力大赛,国家级A类（A4）,外语类,上海外语教育出版社,"商务英语,英语,翻译,跨文化交际,外语类","英语应用,跨文化交际,案例分析,演讲表达,团队协作,文化知识","本科组,研究生组(跨文化案例分析与展示)","跨文化案例视频/展示,现场问答,情景剧表演",1-3个月,2,中,每年4-6月（以官方通知为准）,6-7月省赛/10-11月全国赛,团队（3人/队）,否,"跨文化案例库,英语演讲稿,情景剧脚本,展示PPT","即兴问答环节临场发挥影响大,案例分析深度决定评分",上海外语教育出版社通知,"校奖,省奖,国奖",是,"省赛约20-30%,国赛约5-10%"
全国大学生机器人大赛-①RoboMaster、②RoboCon,机器人大赛(RoboMaster/RoboCon),国家级A类（A4）,机械类/电子类,全国大学生机器人大赛组委会,"机器人工程,机械工程,自动化,电子信息工程,计算机科学与技术","机械结构设计,嵌入式开发,计算机视觉,SLAM,电机控制,运营宣传","RoboMaster超级对抗赛,RoboMaster高校单项赛,RoboCon机器人挑战赛","机器人实物(步兵/英雄/工程/哨兵/无人机),技术方案文档,源代码,宣传视频",3个月以上,3,高,每年9-11月（以官方通知为准）,次年3-4月分区赛/7-8月全国赛,团队（10-50人战队规模，含技术/运营/宣传）,否,"机器人底盘,云台,发射机构,视觉模块,遥控器,结构件,3D打印机,运营宣传物料","机器人研发成本极高(10万+),战队管理复杂,机械故障和通讯干扰风险大,需全年持续备赛",全国大学生机器人大赛组委会,"校奖,省奖,国奖",是,省级获奖率约10-15%
全国大学生光电设计竞赛,光电设计竞赛,国家级A类（A4）,电子类/物理类,中国光学学会,"微电子科学与工程,光电信息科学与工程,电子科学与技术,物理学","光学设计,Zemax,光电检测,电路设计,嵌入式系统,信号处理,路演答辩","创意赛道(光电+AI/物联网/医疗等),光学设计赛道(宇瞳杯)","项目方案设计书,实物作品,演示视频,路演PPT",3个月以上,3,高,每年3-4月（以官方通知为准）,5月作品提交/6月区赛/6月下旬国赛,团队（3人/队，研究生≤1人且不能任队长）,是,"光学仿真软件(Zemax),光电器件/模块,电路设计工具,项目方案书,演示PPT","光学器件成本高,跨学科组队难度大,创意赛道需兼顾技术创新与展示效果",中国光学学会通知,"校奖,省奖,国奖",是,省级获奖率约10-15%
iCAN大学生创新创业大赛,iCAN大赛,国家级A类（A4）,创新创业类,中国信息协会、中国信息协会教育分会,全专业（面向全校一院一赛）,"创新思维,商业计划书,路演答辩,项目Demo,团队协作","创新赛道,创业赛道","商业计划书,路演PPT,项目Demo/原型",1-3个月,2,中,每年3-5月（以官方通知为准）,6-7月省赛/8-9月国赛,团队（3-5人/队）,是,"商业计划书,路演PPT,项目Demo,团队介绍,专利/论文支撑材料","项目需有明显创新点,竞争激烈",湖北工业大学2025年度学科竞赛指南（PDF）,"校奖,省奖,国奖",是,"省赛约20-30%,国赛约5-10%"
全国大学生能源经济学术创意大赛,能源经济大赛,国家级A类（A4）,经管类,中国优选法统筹法与经济数学研究会,"能源经济,经济学,环境经济,管理科学","能源经济学,计量经济学,数据分析,论文写作,调研方法,PPT答辩","研究论文类(优化/计量/泛能源大数据与AI/碳足迹),调研报告类,创新创业类","研究论文,调研报告,创新创业方案",3个月以上,3,中,每年10-11月（以官方通知为准）,2-3月作品提交/3-4月校赛区域赛/5月国赛,团队（1-4人/队，0-2名指导教师）,是,"能源经济数据源,计量分析软件(Stata/Python),论文/报告,答辩PPT","参赛周期长达半年,需提前一年准备数据和选题,学术诚信要求严格(禁止AI生成)",中国优选法统筹法与经济数学研究会通知,"校奖,省奖,国奖",是,"省赛约20-30%,国赛约5-10%"
全国大学生花园设计建造竞赛,花园设计建造竞赛,国家级A类（A4）,设计类/土木类,中国风景园林学会,"风景园林,建筑学,环境设计,城乡规划","风景园林设计,手绘/建模,植物配置,施工图设计,空间营造","设计竞赛,建造竞赛","设计方案图纸,模型,建造实物,设计说明书",3个月以上,3,中,每年3-5月（以官方通知为准）,6月方案评审/7-8月建造实施,团队（3-5人/队）,部分,"设计方案图纸,效果图,模型材料,植物配置方案,施工图","实际建造涉及施工安全和天气因素,方案落地难度大,材料成本较高",中国风景园林学会通知,"校奖,省奖,国奖",是,"省赛约20-30%,国赛约5-10%"
全国大学生物联网设计竞赛,物联网设计竞赛,国家级A类（A4）,计算机类,全国高等学校计算机教育研究会,"计算机科学与技术,物联网工程,电子信息工程,通信工程","嵌入式开发,传感器技术,物联网通信,MQTT/CoAP,云平台,微信小程序,硬件设计","华为鸿蒙赛道,乐鑫ESP赛道,霍尼韦尔赛道,CSA联盟赛道,广和通5G赛道等",物联网系统实物+设计方案文档+演示视频,3个月以上,3,中,每年4-6月（2026年报名4月1日-6月15日）,7月作品提交/8月分赛区决赛/8月底全国总决赛,团队（≤4人/队，指导教师≤2人）,是,"物联网开发板(ESP8266/STM32),传感器模块,云平台账号,系统实物原型,设计文档,演示视频","硬件调试不确定因素多,推荐技术平台需提前申请,需兼顾方案创新性与实物完成度",https://iot.sjtu.edu.cn,"校奖,省奖,国奖",是,"省赛约20-30%,国赛约5-10%"
全国大学生节能减排社会实践与科技竞赛,节能减排大赛,国家级A类（A4）,综合类,教育部高等教育司、教育部高等学校能源动力类专业教学指导委员会,全专业（面向全校一院一赛）,"能源工程,环保技术,创新设计,社会调研,数据统计,报告撰写,PPT答辩","科技作品类(实物/软件),社会实践调查报告类","科技作品实物/软件,社会实践调研报告,演示视频,答辩PPT",3个月以上,3,中,每年3-5月（以官方通知为准）,6月作品提交/8月全国总决赛,团队（≤7人/队）,是,"科技作品实物/模型,社会调查数据,设计说明书,演示视频,答辩PPT","每年主题方向有侧重,实物类需投入制作成本",https://www.jnjp.com (竞赛官网),"校奖,省奖,国奖",是,"省赛约20-30%,国赛约5-10%"
全国大学生数学竞赛,数学竞赛,国家级A类（A4）,数学类,中国数学会,"数学与应用数学,信息与计算科学,统计学及相关专业","高等数学,线性代数,概率论与数理统计,数学分析,解析几何","数学专业组(A类),非数学专业组(B类)",闭卷笔试,1-3个月,2,高,每年5-9月（以官方通知为准）,10月初赛/次年3月决赛,个人,否,"高等数学教材,历年竞赛真题,数学竞赛辅导书,刷题笔记本","命题范围广且灵活,非数学专业组竞争同样激烈",中国数学会通知,"校奖,省奖,国奖",是,省级获奖率约10-15%
全国大学生英语竞赛,英语竞赛（NECCS）,国家级A类（A4）,外语类,教育部高等学校大学外语教学指导委员会,"汉语国际教育,英语,翻译,外语类","英语听力,阅读,写作,翻译,英语综合运用能力","A类(研究生),B类(英语专业本专科),C类(非英语专业本科),D类(艺体类/高职高专)","笔试+听力(初赛),笔试+口试(决赛)",1个月以内,1,中,每年12月-次年3月（以官方通知为准）,4月初赛/5月决赛,个人,否,"历年真题,英语词汇书,听力练习材料,作文模板",获奖率相对稳定但全国决赛竞争激烈,http://www.chinaneccs.cn,"校奖,省奖,国奖",是,获奖率相对稳定但全国决赛竞争激烈
全国大学生化工实验大赛,化工实验大赛,国家级A类（A4）,化工类,中国化工教育协会,"化学工程与工艺,应用化学,轻化工程,材料化学","化工原理,化工单元仿真,实验操作,数据分析,团队协作","东北/华北/华东/西北/西南/中南六大赛区,制药赛道","化工原理理论笔试,单元仿真操作机考,实验操作+实验报告",1-3个月,2,中,每年3-4月（以官方通知为准）,6月赛区选拔赛/7月赛区决赛/8月全国总决赛,团队（3人/队，不得跨校）,否,"化工原理教材,化工仿真软件,实验操作指导书,计算器","3人团队需配合默契,实验操作环节临场发挥关键,各赛区竞争强度不同",中国化工教育协会通知 http://edu.cteic.com/match,"校奖,省奖,国奖",是,"省赛约20-30%,国赛约5-10%"
全国大学生化学实验创新设计大赛,化学实验创新设计大赛,国家级A类（A4）,化工类,中国化学会,"化学,应用化学,材料化学,化工类","化学实验设计,实验操作,数据记录与处理,文献调研,论文撰写","新创实验设计,改进实验设计,科普实验设计","实验方案设计书,实验视频,实验报告",3个月以上,3,中,每年3-5月（以官方通知为准）,6月作品提交/7月分赛区/8月全国决赛,团队（3人/队，指导教师1-2人）,部分,"化学试剂与仪器,实验记录本,实验设计书,演示视频,文献资料","实验安全风险需严格防范,创新性要求高,视频录制需精心准备",中国化学会通知,"校奖,省奖,国奖",是,"省赛约20-30%,国赛约5-10%"
中国大学生计算机设计大赛(4C),4C大赛/计设赛,国家级A类（A4）,计算机类/设计类,教育部高等学校计算机类教指委等,"计算机科学与技术,数字媒体技术,数字媒体艺术,动画,视觉传达设计（微课赛道/环境设计赛道）","UI设计,Photoshop,Premiere,Unity,前端开发,数据分析,AI应用,答辩","软件应用与开发,微课与教学辅助,物联网应用,大数据应用,人工智能应用,信息可视化设计,数媒设计,游戏与交互","软件作品,设计稿件,动画/视频,设计说明书,演示视频,PPT",3个月以上,3,中,每年3-4月（以官方通知为准）,5-6月省赛/7-8月国赛,团队（≤7人/队）,是,"软件/作品原型,设计文档,源代码,演示视频,答辩PPT","赛道多需精准选择,作品需兼顾技术实现与设计美感",http://jsjds.blcu.edu.cn,"校奖,省奖,国奖",是,"省赛约20-30%,国赛约5-10%"
"""21世纪杯""全国英语演讲比赛",21世纪杯,国家级A类（A4）,外语类,中国日报社,"英语,翻译,外语类","英语演讲,口语表达,即兴应答,逻辑思辨,跨文化交际","青年组(大学),少儿组(中小学)","定题演讲稿,即兴演讲,现场问答",1-3个月,2,中,每年1-4月（以官方通知为准）,5月地区复赛/8月全国赛,个人,否,"定题演讲稿,即兴演讲素材库,英语口语练习,模拟问答训练","即兴演讲环节临场发挥影响大,发音和语言质量决定评分",中国日报社通知,"校奖,省奖,国奖",是,"省赛约20-30%,国赛约5-10%"
百度之星·程序设计大赛,百度之星,国家级A类（A4）,计算机类,百度公司,"软件工程,计算机科学与技术,人工智能,数学","C/C++,Java,Python,算法设计,数据结构,ACM编程,逻辑推理","初赛(两场线上),决赛(线下大学组/高中组/小星星组)",OJ提交源代码（算法编程题）,1-3个月,2,高,每年4-6月（以官方通知为准）,6-8月初赛/12月决赛,个人,否,"编程环境,算法模板库,历年赛题集(百度之星题集),OJ平台练习账号","线上初赛人数极多(30万+),晋级率约5%,决赛名额有限",https://astar.baidu.com,"校奖,省奖,国奖",是,省级获奖率约10-15%
